feature,label,mean,std
phys_length,Sequence length,0.03142655172730366,0.006415849005955415
phys_molecular_weight,Molecular weight,0.025684862338997735,0.0054720117543358435
phys_aggregation_propensity_mean,Aggregation propensity (mean),0.01201791107806152,0.0025501188870727114
phys_beta_propensity_mean,β-sheet propensity (mean),0.011353016240234336,0.0021206525997076384
phys_hydrophobicity_mean,Hydrophobicity (mean),0.009229346259421496,0.0015759948940540513
phys_aliphatic_fraction,Aliphatic fraction,0.003899630027449619,0.0005938491735227601
comp_aa_V,Val (V),0.003871629623509387,0.0006412450076173109
phys_hydrophobicity_std,Hydrophobicity (std),0.0037362178339622595,0.0007894671774210432
comp_aa_I,Ile (I),0.003363720656953791,0.0007280206321400058
phys_aromatic_fraction,Aromatic fraction,0.0024201988487703276,0.000566868567487981
comp_aa_L,Leu (L),0.0022735409953455613,0.0008787948576819027
phys_beta_propensity_max,β-sheet propensity (max),0.00208281693244106,0.0007615634857197184
phys_hydrophobicity_max,Hydrophobicity (max),0.0020258980785297013,0.0008028849557562061
comp_small_fraction,Small residue fraction,0.001919175227445972,0.000339212728653459
phys_charged_fraction,Charged fraction,0.0018826828977205556,0.0003992854515903534
phys_aggregation_propensity_max,Aggregation propensity (max),0.0014268730434144486,0.0009167420818983884
comp_aa_Y,Tyr (Y),0.0013424128085782786,0.00030144123902275976
comp_aa_A,Ala (A),0.0013364455093778816,0.00027192813614087614
phys_polar_fraction,Polar fraction,0.001260247688819179,0.00038241252594627053
comp_large_fraction,Large residue fraction,0.0012221487785398074,0.0004138000831092144
comp_tiny_fraction,Tiny residue fraction,0.0011457214464733688,0.0003192286443044718
phys_hydrophobicity_min,Hydrophobicity (min),0.0011149669044406433,0.0002471952945269782
comp_aa_H,His (H),0.0009811616954474522,0.00032442448151521715
comp_aa_Q,Gln (Q),0.0008753568903945186,0.00027300333545467095
comp_aa_N,Asn (N),0.0007566994409100099,0.0003653748956698206
comp_aa_E,Glu (E),0.0007511911647250587,0.0003734513337370003
comp_aa_P,Pro (P),0.0007424697274321934,0.00042605428557468254
phys_positive_residues,Positive residues,0.0006178449787472729,0.0011916381587040736
comp_aa_G,Gly (G),0.0005577129637280409,0.0003716598552564121
comp_aa_D,Asp (D),0.0005205320994795167,0.00020108351822604472
phys_has_proline,Has proline,0.0005184664959101266,0.0003109105066813307
comp_aa_T,Thr (T),0.0005079089665556369,0.00026684411845159605
comp_aa_R,Arg (R),0.0004955153451394523,0.00016258245945571497
comp_aa_S,Ser (S),0.00045466229676760506,0.00030005932861008937
comp_aa_C,Cys (C),0.00043515381861250664,0.0001644276568697295
phys_net_charge,Net charge,0.00043148163448921697,0.0002622122520404641
phys_charge_density,Charge density,0.0003564313714690311,0.000286437441813715
comp_aa_K,Lys (K),0.0003185619726973584,0.0003232835584523342
comp_aa_F,Phe (F),0.0003125946734969798,0.0005239821610468399
phys_negative_residues,Negative residues,0.00024833145133901967,0.0003368659796589195
phys_has_glycine_rich,Glycine-rich,0.00012347719114639278,5.2254080085290245e-05
comp_aa_M,Met (M),5.095155471101324e-05,0.000152792621404262
comp_dp_AA,Dipeptide AA,2.8688938463413324e-05,0.00012402649830549437
comp_dp_QA,Dipeptide QA,1.767238609349242e-05,3.108250207961677e-05
phys_has_polyq,Has polyQ run,1.5147759508730523e-05,1.7181201421322767e-05
comp_dp_AQ,Dipeptide AQ,-6.885345230818926e-07,1.1569292426231796e-05
comp_aa_W,Trp (W),-4.659083606447142e-05,9.100963330293518e-05
